MachineID,MachineModel,ServicePeriod,error1_avg,error2_avg,error3_avg,error4_avg,error5_avg,Comp_Timelapse_diff_errors,RecentError,MostOccuredError,comp_1_replace_avg,comp_2_replace_avg,comp_3_replace_avg,comp_4_replace_avg,Comp_Timelapse_diff_replace,RecentReplacedComp,MostReplacedComp,comp1_repair_avg,comp2_repair_avg,comp3_repair_avg,comp4_repair_avg,Comp_Timelapse_diff_repair,RecentRepaired,MostRepairedComponent,Sensor1_max,Sensor2_max,Sensor3_max,Sensor4_max,Sensor1_min,Sensor2_min,Sensor3_min,Sensor4_min,Sensor1_mean,Sensor2_mean,Sensor3_mean,Sensor4_mean,ActionPoint
MID11001,model4,21,60.0,35.65,40.71,0.0,65.0,13.58,error2,error2,60.0,47.5,0.0,97.5,25.91,Component4,Component2,43.5,32.91,47.0,87.8,14.47,Component3,Component2,251.65,635.18,153.42,66.51,113.81,217.34,61.86,21.22,171.26,444.78,100.88,40.33,ComponentRepair
MID11002,model1,21,0.0,150.0,150.0,95.0,95.0,31.5,error5,error4,0.0,150.0,95.0,67.5,42.86,Component3,Component3,76.0,78.67,38.82,31.86,16.17,Component3,Component3,229.7,659.03,161.06,73.26,108.43,208.67,62.02,21.12,170.38,445.79,101.04,40.49,ComponentRepair
MID11003,model3,22,37.5,90.0,93.54,0.0,85.0,27.27,error3,error2,37.5,135.0,0.0,85.0,42.86,Component2,Component4,72.83,43.67,47.57,46.89,15.52,Component2,Component2,237.89,627.79,151.98,62.11,111.57,244.51,51.25,21.25,170.77,446.16,100.6,40.54,NoIssue
MID11004,model4,22,42.41,78.75,78.75,0.0,52.5,18.53,error2,error1,0.0,105.0,0.0,52.5,39.38,Component2,Component4,63.0,43.25,54.75,50.88,17.5,Component2,Component3,231.75,643.3,148.44,63.7,111.27,238.93,61.19,22.79,170.74,445.82,100.78,40.59,NoIssue
MID11005,model3,22,44.21,96.44,33.24,0.0,56.25,19.02,error2,error3,45.0,30.0,0.0,56.25,28.12,Component4,Component4,57.43,29.4,54.5,40.64,15.41,Component4,Component4,224.47,643.95,156.49,66.24,110.95,242.3,64.1,22.16,170.82,446.06,100.76,40.57,ComponentRepair
MID11008,model3,21,41.25,19.81,7.57,98.9,40.0,14.13,error4,error1,82.5,0.0,0.0,40.0,32.5,Component4,Component4,37.75,106.0,56.6,67.0,18.82,Component3,Component1,230.88,624.1,148.85,63.13,113.49,203.75,65.7,18.05,170.76,446.77,100.47,40.44,ComponentRepair
MID11009,model4,21,0.0,27.02,69.73,0.0,42.0,21.0,error5,error5,0.0,0.0,0.0,42.0,35.0,Component4,Component4,43.1,193.0,33.25,36.22,15.38,Component2,Component1,238.28,651.35,155.81,65.03,117.78,215.77,64.09,21.07,170.37,445.9,100.65,40.63,ComponentReplacement
MID11010,model3,21,30.0,30.0,30.0,0.0,65.0,27.27,error5,error2,80.04,30.0,0.0,75.03,30.01,Component4,Component4,34.0,45.38,58.0,30.36,13.18,Component4,Component4,241.44,641.82,150.86,65.18,110.24,253.02,62.93,20.71,170.86,446.32,100.54,40.49,ComponentRepair
MID11011,model1,21,42.67,71.25,71.25,56.25,55.0,16.09,error1,error1,35.0,95.0,56.25,55.0,23.08,Component2,Component3,41.0,43.56,52.75,62.83,15.57,Component2,Component2,237.09,639.89,160.3,68.79,114.4,208.04,64.13,20.95,170.51,445.68,101.06,40.43,ComponentRepair
MID11012,model4,21,93.43,0.0,0.0,0.0,63.0,31.5,error5,error5,0.0,0.0,0.0,63.0,45.0,Component4,Component4,72.2,52.62,47.29,48.88,15.57,Component4,Component2,232.62,667.4,177.68,64.22,111.17,245.52,62.92,21.94,170.95,447.12,100.65,40.59,NoIssue
MID11013,model4,22,0.0,68.22,22.5,0.0,54.16,23.73,error5,error5,0.0,22.5,0.0,70.0,45.0,Component4,Component4,48.1,43.25,24.64,124.0,15.94,Component2,Component3,231.26,673.74,155.57,66.94,119.91,230.43,59.88,18.21,170.89,447.5,100.62,40.47,NoIssue
MID11014,model4,22,0.0,42.5,51.0,0.0,71.25,19.0,error5,error2,0.0,51.0,0.0,95.0,35.62,Component4,Component2,33.64,56.67,68.0,56.67,14.82,Component4,Component1,248.22,643.28,151.28,68.76,117.17,138.78,67.05,23.25,170.68,446.18,100.84,40.46,ComponentRepair
MID11015,model4,22,78.42,67.5,54.0,2.08,60.0,15.83,error3,error3,112.5,67.5,0.0,60.0,33.75,Component1,Component4,56.6,50.29,56.71,57.12,18.0,Component1,Component4,237.39,649.08,150.74,67.48,112.02,203.09,61.2,21.44,170.95,446.97,100.71,40.44,ComponentRepair
MID11016,model4,22,8.59,72.58,76.46,0.0,62.1,24.83,error5,error5,0.0,0.0,0.0,71.25,47.5,Component4,Component4,55.33,90.67,58.14,40.08,17.18,Component4,Component4,233.64,639.57,148.58,69.87,111.99,195.67,62.14,21.74,170.7,447.4,100.46,40.55,ComponentRepair
MID11017,model3,22,0.0,90.0,45.0,0.0,135.0,30.0,error5,error3,0.0,90.0,0.0,135.0,54.0,Component4,Component2,47.14,45.0,49.29,36.82,12.66,Component4,Component4,229.18,665.75,153.04,63.05,115.74,228.04,67.84,20.5,170.4,446.53,100.9,40.47,ComponentRepair
MID11018,model3,21,60.0,62.69,3.6,0.0,50.0,18.53,error1,error5,100.0,0.0,0.0,50.0,31.5,Component1,Component4,93.4,45.1,37.7,73.14,16.44,Component1,Component3,235.67,663.4,149.29,69.02,110.9,233.88,61.52,19.97,171.28,447.79,100.66,40.67,ComponentRepair
MID11019,model4,22,21.14,85.0,85.0,0.0,67.5,23.18,error3,error2,0.0,85.0,0.0,67.5,42.5,Component2,Component2,45.33,25.3,75.17,43.73,16.0,Component3,Component4,227.91,652.0,152.08,67.8,111.7,228.25,64.57,20.85,170.83,446.66,100.88,40.41,ComponentRepair
MID11020,model2,21,0.0,56.25,63.74,56.25,75.0,18.75,error5,error2,0.0,15.0,56.25,75.0,27.27,Component4,Component3,46.6,33.5,66.57,58.25,15.91,Component4,Component1,232.51,640.82,162.08,66.94,110.47,198.76,56.96,21.61,170.88,446.91,101.32,40.54,ComponentRepair
MID11021,model2,21,37.5,41.74,45.0,50.0,82.5,13.12,error3,error1,50.0,45.0,50.0,82.5,19.09,Component2,Component1,65.17,58.44,45.14,27.17,18.75,Component2,Component2,241.1,643.54,154.24,66.86,114.29,244.89,65.97,22.75,171.16,446.54,100.87,40.33,ComponentRepair
MID11022,model3,22,0.0,42.0,42.0,0.0,75.0,18.75,error5,error2,0.0,42.0,0.0,75.0,30.0,Component4,Component2,30.91,36.88,77.0,92.0,15.86,Component4,Component1,249.95,636.85,150.76,63.64,116.67,198.07,62.62,22.06,170.68,444.5,100.62,40.5,ComponentRepair
MID11023,model1,22,94.27,75.0,75.0,90.0,80.0,20.77,error2,error2,0.0,75.0,90.0,68.53,28.91,Component2,Component4,68.83,31.86,84.5,44.22,17.58,Component4,Component4,237.15,660.49,161.44,67.18,118.55,228.04,59.37,22.06,170.22,446.21,101.03,40.58,ComponentRepair
MID11024,model1,21,78.14,48.75,65.0,30.0,40.0,14.17,error1,error5,105.0,58.78,30.0,48.0,21.55,Component1,Component4,70.57,41.9,64.67,59.86,18.3,Component1,Component2,234.83,629.26,160.58,63.08,106.35,231.23,65.33,19.74,170.88,446.73,101.05,40.67,ComponentRepair
MID11025,model4,22,47.15,57.41,63.75,0.0,55.0,16.88,error2,error1,0.0,63.75,0.0,55.0,31.88,Component2,Component2,24.78,38.92,79.75,52.83,14.97,Component1,Component2,238.17,630.07,166.42,74.42,101.93,213.4,60.61,20.78,170.58,446.1,100.35,40.5,ComponentRepair
MID11026,model3,22,52.1,48.75,48.75,0.0,67.5,15.88,error5,error1,99.04,48.75,0.0,67.5,28.37,Component4,Component2,45.14,60.12,65.17,75.2,18.5,Component4,Component2,238.99,615.28,160.4,68.23,108.14,240.16,64.37,23.12,170.86,445.27,100.78,40.5,ComponentRepair
